condition,seed,tag,status,best_epoch,last_epoch,best_val_miou,val_mean_iou,val_iou_background,val_iou_water,val_f1_background,val_f1_water,val_precision_background,val_precision_water,val_recall_background,val_recall_water,val_accuracy,val_macro_f1,val_topo_violation_fraction,val_topo_violation_count,val_water_pred_pixels,val_water_gt_pixels,val_water_pred_ratio,val_water_gt_ratio,val_tp_water,val_fp_water,val_tn_background,val_fn_water,val_ignored_pixels,val_n_pixels_total,test_mean_iou,test_iou_background,test_iou_water,test_f1_background,test_f1_water,test_precision_background,test_precision_water,test_recall_background,test_recall_water,test_accuracy,test_macro_f1,test_topo_violation_fraction,test_topo_violation_count,test_water_pred_pixels,test_water_gt_pixels,test_water_pred_ratio,test_water_gt_ratio,test_tp_water,test_fp_water,test_tn_background,test_fn_water,test_ignored_pixels,test_n_pixels_total,bolivia_mean_iou,bolivia_iou_background,bolivia_iou_water,bolivia_f1_background,bolivia_f1_water,bolivia_precision_background,bolivia_precision_water,bolivia_recall_background,bolivia_recall_water,bolivia_accuracy,bolivia_macro_f1,bolivia_topo_violation_fraction,bolivia_topo_violation_count,bolivia_water_pred_pixels,bolivia_water_gt_pixels,bolivia_water_pred_ratio,bolivia_water_gt_ratio,bolivia_tp_water,bolivia_fp_water,bolivia_tn_background,bolivia_fn_water,bolivia_ignored_pixels,bolivia_n_pixels_total,best_epoch_train_loss_total,best_epoch_train_loss_ce,best_epoch_train_loss_dice,best_epoch_train_loss_topo,best_epoch_lambda_topo_loss,best_epoch_lambda_topo_epoch,best_epoch_val_mean_iou,best_epoch_learning_rate,best_epoch_grad_norm
ce,0,segman_ce_seed0_clean,done,43,58,0.8388371135666957,0.8388371135666957,0.9619083871316828,0.7157658400017085,,0.8343397721462922,,0.8791701765621799,,0.7938595060343537,0.9652424460050579,,0.0008060580460111822,,2020478.0,,,,,,,,,,0.8420066331623748,0.9572482144371209,0.7267650518876286,,0.8417648377735686,,0.8687915834979428,,0.8163688802584154,0.9616133005760437,,0.0009159834289018817,,2411263.0,,,,,,,,,,0.8110270728429402,0.9380734534477297,0.6839806922381506,,0.8123379269023366,,0.892823652129935,,0.7451633894966407,0.9453925723939655,,0.0017048362339376138,,379636.0,,,,,,,,,,0.17425720781087875,0.17425720781087875,0.0,0.0,,0.0,,7.5e-06,
ce,1,segman_ce_seed1,done,52,67,0.8230894973459411,0.8230894973459411,0.9571224287175485,0.6890565659743335,,0.8159070333761743,,0.8470026121540435,,0.7870137937661026,0.9608430269441937,,0.0007388132343791907,,2079127.0,,,,,,,,,,0.8290336704056838,0.9539182672259903,0.7041490735853774,,0.8263937521661889,,0.8659873630916184,,0.7902623474290373,0.9584728878710411,,0.0008097764272468659,,2341712.0,,,,,,,,,,0.7806875299568857,0.9238095991300479,0.6375654607837236,,0.7786747779579947,,0.8153632978262753,,0.7451458018220831,0.9328143551798146,,0.0018417365086829177,,415692.0,,,,,,,,,,0.21295118182897568,0.21295118182897568,0.0,0.0,,0.0,,3.75e-06,
ce,2,segman_ce_seed2,done,31,46,0.8063947240429165,0.8063947240429165,0.9540354245223477,0.6587540235634852,,0.794275720457082,,0.8582286375775652,,0.7391930211096239,0.9577815417553084,,0.000588075153360344,,1927251.0,,,,,,,,,,0.8119009927224452,0.9487031334095207,0.6750988520353698,,0.8060406121287403,,0.8454533631542651,,0.7701388215039081,0.9536441006294814,,0.0008211817290390752,,2337508.0,,,,,,,,,,0.8157837939685688,0.9343073722547446,0.6972602156823929,,0.8216303065844921,,0.8148179377083631,,0.8285575468711527,0.9429405313801622,,0.0013285387339541023,,462534.0,,,,,,,,,,0.1911184471845627,0.1911184471845627,0.0,0.0,,0.0,,7.5e-06,
ce,3,segman_ce_seed3,done,52,67,0.8341049473922588,0.8341049473922588,0.9614372660522376,0.70677262873228,,0.8281977538592722,,0.8941116194833667,,0.7713349764592052,0.9647167921713647,,0.0005351382989551673,,1930344.0,,,,,,,,,,0.8460879852996811,0.9593073120695433,0.7328686585298189,,0.8458444382641108,,0.8935504322666593,,0.8029742399071588,0.9633939871524451,,0.0006640275820206823,,2305984.0,,,,,,,,,,0.8084619542872542,0.937963400871806,0.6789605077027024,,0.808786751788122,,0.9047211047553768,,0.7312471420028844,0.9451585963529726,,0.0011632958242029346,,367647.0,,,,,,,,,,0.13255222037434577,0.13255222037434577,0.0,0.0,,0.0,,7.5e-06,
ce,42,segman_ce_seed42,done,48,63,0.8139719072174398,0.8139719072174398,0.9560919173935032,0.6718518970413764,,0.8037217868763753,,0.8682731294487689,,0.7481043347686477,0.9597135708909581,,0.000572577022476326,,1927921.0,,,,,,,,,,0.8551552047419834,0.9604311182902127,0.7498792911937541,,0.8570640214642373,,0.8664034900500445,,0.847923756703263,0.9646273812814286,,0.0007509832656164107,,2511368.0,,,,,,,,,,0.8212271552575712,0.9380761358657268,0.7043781746494155,,0.8265515073194405,,0.8431024193493069,,0.8106379049562067,0.9460380115174793,,0.0013251518781986847,,437349.0,,,,,,,,,,0.16126957535743713,0.16126957535743713,0.0,0.0,,0.0,,9.375e-07,
dice_ce,0,segman_dice_ce_seed0,done,44,59,0.8382377261218161,0.8382377261218161,0.9597669402649656,0.7167085119786666,,0.8349798547367755,,0.8320761273469707,,0.8379039195926001,0.9634838116801288,,0.000847248403886569,,2253277.0,,,,,,,,,,0.8388851467088018,0.954347471808335,0.7234228216092685,,0.8395186747425836,,0.8265483851475875,,0.8529025163078149,0.9592173303718747,,0.0009748025707186517,,2647920.0,,,,,,,,,,0.8362804433767369,0.9425145690838883,0.7300463176695855,,0.8439615867082398,,0.8396977630373422,,0.8482689331316613,0.9502488828602961,,0.0016517160752473785,,459507.0,,,,,,,,,,0.4880916857719421,0.1527155315876007,0.3353761541843414,0.0,,0.0,,7.5e-06,
dice_ce,1,segman_dice_ce_seed1,done,31,46,0.8240245787674552,0.8240245787674552,0.9560642159662238,0.6919849415686865,,0.8179563831426632,,0.8211175973072028,,0.8148194162955481,0.9600113329941647,,0.0007038066048531866,,2220442.0,,,,,,,,,,0.8378478098198212,0.9547010027715569,0.7209946168680856,,0.8378813156082636,,0.8378871930368093,,0.8378754382621728,0.9594480129930902,,0.0008301968536903205,,2566065.0,,,,,,,,,,0.7945793675549407,0.9280842996578964,0.6610744354519851,,0.7959600380847521,,0.8174312989480513,,0.7755878680220901,0.9369310781901901,,0.001588257093724816,,431580.0,,,,,,,,,,0.5111498618125916,0.18838569551706313,0.32276417016983033,0.0,,0.0,,1.5e-05,
dice_ce,2,segman_dice_ce_seed2,done,64,79,0.8331760656882254,0.8331760656882254,0.9599664754101239,0.7063856559663269,,0.8279320134888271,,0.8615871423483606,,0.7968073006629857,0.9634835160368027,,0.0010123203154726043,,2069367.0,,,,,,,,,,0.858047583434805,0.9611146302451395,0.7549805366244705,,0.8603862218057416,,0.8653247546193757,,0.8555037389409068,0.9652752714322457,,0.0011864371684392385,,2536977.0,,,,,,,,,,0.84609470628009,0.9491898636475432,0.7429995489126368,,0.8525527724618792,,0.9029097336083204,,0.8075160927222202,0.9556976304259515,,0.0016568854866635424,,406807.0,,,,,,,,,,0.466980859041214,0.15417590707540513,0.31280495405197145,0.0,,0.0,,9.375e-07,
dice_ce,3,segman_dice_ce_seed3,done,15,30,0.8096971281798792,0.8096971281798792,0.9523662581315784,0.6670279982281799,,0.8002601023343799,,0.8107097130404796,,0.7900764433400891,0.956515646307107,,0.0005690065015047158,,2180656.0,,,,,,,,,,0.8337151934219585,0.9539314626707901,0.713498924173127,,0.8327976330856887,,0.8429299245591968,,0.8229060352651747,0.9586728647979051,,0.0006387488607363549,,2505143.0,,,,,,,,,,0.7874776243720916,0.9302455764883906,0.6447096722557926,,0.7839799122376955,,0.8776560827393096,,0.7083721727813148,0.9380828261237214,,0.0009909226918087823,,367129.0,,,,,,,,,,0.6035890877246857,0.23081137299537657,0.3727777111530304,0.0,,0.0,,6e-05,
dice_ce,42,segman_dice_ce_seed42,done,23,38,0.798310557347823,0.798310557347823,0.9514126306792443,0.6452084840164016,,0.7843485981074838,,0.8390552432168175,,0.7363390768254451,0.9553572172079198,,0.0005425380743021275,,1963680.0,,,,,,,,,,0.8321157193902377,0.9535510357540568,0.7106804030264186,,0.8308745476585007,,0.8432710691450339,,0.8188372164618618,0.9583079544270958,,0.0006705226285993892,,2491748.0,,,,,,,,,,0.7952230695588478,0.9274661504850559,0.6629799886326398,,0.7973397072297487,,0.8076629009231296,,0.7872770762249816,0.9365234507804723,,0.0011290707555166087,,443383.0,,,,,,,,,,0.5725704866647721,0.2170337399840355,0.3555367481708527,0.0,,0.0,,1.5e-05,
dice_ce_topo,0,segman_dice_ce_topo_seed0,done,44,59,0.8343002225615134,0.8343002225615134,0.9588586738390149,0.7097417712840118,,0.8302327090610853,,0.8314495543608097,,0.8290194203177058,0.9626191534992468,,0.0008632381282376928,,2231065.0,,,,,,,,,,0.8496025748783389,0.9578234424759635,0.7413817072807142,,0.8514867293953972,,0.8408026882915329,,0.8624457883769968,0.9623728522280661,,0.0009559149752677719,,2632155.0,,,,,,,,,,0.8331507622032525,0.9412036934478557,0.7250978309586492,,0.840645461313585,,0.83487642944184,,0.8464947764606564,0.9490978323218199,,0.0015695402592869813,,461194.0,,,,,,,,,,0.5327628219127655,0.16961354464292527,0.3509859573841095,0.024326637536287308,,0.5,,1.875e-06,
dice_ce_topo,1,segman_dice_ce_topo_seed1,done,38,53,0.8263075272559692,0.8263075272559692,0.9558183365369366,0.6967967179750019,,0.8213084226218635,,0.8071071268009862,,0.836018421481897,0.9598908090649171,,0.0009305088132100582,,2317758.0,,,,,,,,,,0.838642015660056,0.9538671162419636,0.7234169150781485,,0.8395146975162945,,0.8191771536298544,,0.860887782671064,0.9588342890196389,,0.0009766731441333194,,2696761.0,,,,,,,,,,0.7895816374817682,0.9178564304295207,0.6613068445340158,,0.7961284776618223,,0.7327996746284109,,0.8714384959020718,0.9292102175349526,,0.001930864291720225,,540920.0,,,,,,,,,,0.4979948365688324,0.18451113760471344,0.30155914425849917,0.023849111814051867,,0.5,,7.5e-06,
dice_ce_topo,2,segman_dice_ce_topo_seed2,done,40,55,0.8379129931670481,0.8379129931670481,0.9612168606428194,0.714609125691277,,0.8335533912467296,,0.8667288422791591,,0.8028240015552343,0.9646497796841298,,0.0009618155550625821,,2072624.0,,,,,,,,,,0.8574164179242536,0.9610414350341174,0.7537914008143897,,0.8596135212709556,,0.8673191305030811,,0.8520436257185512,0.96519304840626,,0.001127695967181413,,2520906.0,,,,,,,,,,0.8343073132648353,0.946096393370396,0.7225182331592748,,0.838909242585029,,0.9129196700832551,,0.7759989799148757,0.9527309118614694,,0.0015165983561628207,,386643.0,,,,,,,,,,0.47644390165805817,0.13830001384019852,0.32921080470085146,0.01786616518162191,,0.5,,1.5e-05,
dice_ce_topo,3,segman_dice_ce_topo_seed3,done,18,33,0.8069387439728025,0.8069387439728025,0.9506545227857791,0.6632229651598259,,0.7975154011850648,,0.7917961910257625,,0.8033178331296185,0.9550250619311176,,0.0006093689124881352,,2270165.0,,,,,,,,,,0.8309987896065032,0.9520159807483332,0.7099815984646733,,0.8303967704706747,,0.8205457636094693,,0.8404871826946796,0.9570600360172921,,0.0006338126253365376,,2628464.0,,,,,,,,,,0.7890113096539261,0.9310430423259226,0.6469795769819295,,0.7856558587903221,,0.8834060895587953,,0.7073828660874459,0.9387798724813142,,0.001007678715019796,,364230.0,,,,,,,,,,0.5492904150485992,0.19139088958501815,0.3468101489543915,0.025590863432735204,,0.43333333333333335,,3e-05,
dice_ce_topo,42,segman_dice_ce_topo_seed42,done,56,71,0.8143599932907479,0.8143599932907479,0.955593861065228,0.6731261255162678,,0.8046328549302458,,0.8549600088897068,,0.7599013230664036,0.9593143538530332,,0.0006168721811965912,,1988817.0,,,,,,,,,,0.8558699123007876,0.9598018662618591,0.7519379583397161,,0.8584070626020521,,0.8486020868263233,,0.8684412655620336,0.9641680143460903,,0.0007978775019146748,,2626093.0,,,,,,,,,,0.8217775984970759,0.9392156948844963,0.7043395021096555,,0.8265248810319941,,0.8577678041490401,,0.7974779274684302,0.9469041761759388,,0.0014586652971885711,,422893.0,,,,,,,,,,0.5059107261896133,0.1436387239396572,0.3476666855812073,0.029210646227002143,,0.5,,4.6875e-07,
dice_ce_topo_dem_shuffled,0,segman_dice_ce_topo_dem_shuffled_seed0,done,44,59,0.8415432793607501,0.8415432793607501,0.9611666094329205,0.7219199492885797,,0.8385058197239014,,0.8465277066125583,,0.8306345400551035,0.9647230499550992,,0.000932940907205213,,2195595.0,,,,,,,,,,0.863708253805493,0.9628122443991858,0.7646042632118003,,0.8666014008377437,,0.8715490055499696,,0.8617096521142387,0.9668201090325089,,0.0009825446662404705,,2537131.0,,,,,,,,,,0.8368216392284239,0.9429229334359964,0.7307203450208514,,0.8444118047413925,,0.8432750410004999,,0.8455516374125013,0.9505777046287853,,0.0016855846328015555,,456092.0,,,,,,,,,,0.48397681534290315,0.145227290391922,0.3274289858341217,0.022641078233718873,,0.5,,7.5e-06,
dice_ce_topo_dem_shuffled,1,segman_dice_ce_topo_dem_shuffled_seed1,done,25,40,0.8257450591506136,0.8257450591506136,0.955429890409907,0.6960602278913202,,0.8207965925322342,,0.8024271991796633,,0.840026725002849,0.9595578654059121,,0.0009221258509288866,,2342453.0,,,,,,,,,,0.8362877609488637,0.9536568782255942,0.7189186436721331,,0.836477801109079,,0.8259368564685253,,0.847291279649554,0.9585678805667414,,0.0010587705328881749,,2632447.0,,,,,,,,,,0.7941834861620454,0.9212503310573811,0.6671166412667098,,0.8003238942655154,,0.7488591910313832,,0.8593843434521088,0.9319844550642213,,0.0020429870427811575,,521998.0,,,,,,,,,,0.6061844789981842,0.2454044923186302,0.3460581421852112,0.029443691316992045,,0.5,,3e-05,
dice_ce_topo_dem_shuffled,2,segman_dice_ce_topo_dem_shuffled_seed2,done,40,55,0.8340716048673391,0.8340716048673391,0.9590428948396952,0.709100314894983,,0.8297936741513667,,0.8363773140844245,,0.8233128724685546,0.9627607666524183,,0.0009722425112332989,,2202653.0,,,,,,,,,,0.8471748824237829,0.9565438685363082,0.7378058963112576,,0.8491234813707981,,0.8281428099913206,,0.8711948594385023,0.961278852203599,,0.0011015858799350111,,2699503.0,,,,,,,,,,0.8425406777276311,0.9452391161720779,0.7398422392831843,,0.8504704881610412,,0.8513989596208631,,0.8495440395370925,0.9526179338625399,,0.0014574175082260488,,453873.0,,,,,,,,,,0.48670114278793336,0.14246282815933228,0.335381019115448,0.017714606244117023,,0.5,,1.5e-05,
dice_ce_topo_dem_shuffled,3,segman_dice_ce_topo_dem_shuffled_seed3,done,11,30,0.8123873380113287,0.8123873380113287,0.9546834484143188,0.6700912276083386,,0.8024606279358112,,0.8444332987608709,,0.7644628967132269,0.9585030100186133,,0.0005305845910493456,,2025697.0,,,,,,,,,,0.8238018680720078,0.9514110604773014,0.6961926756667144,,0.8208886710267925,,0.8417182466042411,,0.8010651178577928,0.9562791365968157,,0.0005925041290959615,,2442164.0,,,,,,,,,,0.7883380093861921,0.9296627490253135,0.6470132697470707,,0.7856807004917836,,0.8645192114793736,,0.7200196102571318,0.9376954231706021,,0.0010460036617258384,,378836.0,,,,,,,,,,0.6918255299329757,0.2648744115233421,0.4202245318889618,0.0336329597979784,,0.2,,6e-05,
dice_ce_topo_dem_shuffled,42,segman_dice_ce_topo_dem_shuffled_seed42,done,36,51,0.831710579984452,0.831710579984452,0.9595775293923792,0.7038436305765248,,0.8261833632448621,,0.8599704026296311,,0.7949508514684227,0.9631204660324296,,0.0009105087211009666,,2068427.0,,,,,,,,,,0.8684864312596527,0.9635360941281802,0.7734367683911254,,0.872246230794902,,0.8597556705546036,,0.8851050679610818,0.9675726422401081,,0.001054847524754636,,2641761.0,,,,,,,,,,0.8404048192347524,0.9444051436582497,0.736404494811255,,0.848194642448563,,0.8488071544314499,,0.8475830138239122,0.9518790438016399,,0.0018155329404699494,,454208.0,,,,,,,,,,0.4632491371035576,0.13156593918800355,0.3222016429901123,0.01896311428397894,,0.5,,6e-05,
